gouvernorat,year,fire_count,area_burned_ha,forest_area_ha,other_forest_area_ha,tavg,tmax,tmin,prcp,wspd,pres,NDVI,NDMI,NBR,brightness,total_frp,confidence,satellite_fire_count
Gafsa,2023,0.0,0.0,4063.0,8063.0,21.121563342318066,46.5,-3.7,185.1,15.059029649595686,1017.0695417789756,0.0816143586873152,-0.073406670920007,-0.0092539525612329,329.42999999999995,193.3,68.1,10.0
Gafsa,2024,1.0,0.01,4063.0,8063.0,21.602459016393443,45.2,0.6,103.7,15.073972602739726,1017.0605633802816,0.0924670595099471,-0.0720029218398629,-0.0051206127218246,307.05,20.7,44.0,2.0
Gafsa,2025,4.0,0.0,4063.0,8063.0,21.164109589041097,46.0,1.0,142.8,14.3413698630137,1016.9335195530726,0.0967184463527816,-0.0661117097889653,0.0089611435498509,323.0436454752181,0.0,65.29756656992024,0.0
Jendouba,2015,51.0,317.7105,98714.0,14964.0,27.18947368421053,39.0,16.0,0.0,11.498245614035088,1016.2,0.09203161388121908,-0.06931741078330206,0.0008058387504478475,329.1698412698413,2146.8,71.26984126984127,63.0
Jendouba,2016,139.0,125.292,98714.0,14964.0,23.5268156424581,39.0,3.5,0.0,13.083240223463688,1016.668047337278,0.0834364751817665,-0.0911431417485954,-0.0136636804345511,333.4156462585034,8532.3,69.34693877551021,147.0
Jendouba,2017,97.0,1857.579,98714.0,14964.0,25.67250384024577,46.0,-2.8,397.5,9.148956661316213,1015.701160862355,0.0910879214376345,-0.0730620545380193,-0.0009843702485584,340.21253822629967,39288.5,80.55351681957187,327.0
Jendouba,2018,10.0,29.139,98714.0,14964.0,18.75202156334232,45.2,0.0,571.7,11.251091703056767,1015.748829953198,0.0957347320758257,-0.066458285719173,0.0041445607222049,332.8681818181818,1115.4,68.9090909090909,44.0
Jendouba,2019,23.0,74.737,98714.0,14964.0,19.80534441805225,46.1,-1.1,475.2,11.556057007125892,1015.6724465558194,0.0983469815069486,-0.0651539593227124,0.0075501851795401,328.64130434782606,5776.8,72.8586956521739,184.0
Jendouba,2020,148.0,342.481,98714.0,14964.0,21.680371900826444,45.0,-0.2,370.9,10.97448347107438,1016.2826446280992,0.0894426767096084,-0.0715302430977852,-0.0020198844994318,333.1506756756757,19958.6,75.9054054054054,296.0
Jendouba,2021,144.0,4057.919,98714.0,14964.0,23.582965009208102,49.0,-2.1,355.7,10.623756906077348,1015.5019337016575,0.084770523425252,-0.0787341502745155,-0.0091475848163443,345.73649289099524,67787.8,80.34123222748815,422.0
Jendouba,2022,180.0,1139.2298,98714.0,14964.0,21.673536299765807,47.3,-0.5,444.1,9.763583138173304,1016.4764637002344,0.0885022323721556,-0.0742238191221464,-0.007933476964065,335.16,11597.8,76.08421052631579,190.0
Jendouba,2023,100.0,1484.68,98714.0,14964.0,21.483213429256597,47.4,-45.1,721.4,9.823261390887293,1016.1761390887292,0.0787591801315065,-0.0736910291235853,-0.010082793355252,344.75479452054793,20877.6,76.31506849315069,146.0
